;2;3;4;5;6;7;8;9;10;A
A,10;S;S;S;S;S;S;S;S;S;S
A,9;S;S;S;S;S;S;S;S;S;S
A,8;S;S;S;S;S;S;S;S;S;S
A,7;S;D;D;D;D;S;S;H;H;H
A,6;H;D;D;D;D;H;H;H;H;H
A,5;H;H;D;D;D;H;H;H;H;H
A,4;H;H;D;D;D;H;H;H;H;H
A,3;H;H;H;D;D;H;H;H;H;H
A,2;H;H;H;D;D;H;H;H;H;H
A,A;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
8,8;S;S;S;S;S;S;S;S;S;S
10,10;SP;SP;SP;SP;SP;S;SP;SP;S;S
9,9;SP;SP;SP;SP;SP;SP;H;H;H;H
7,7;SP;SP;SP;SP;SP;H;H;H;H;H
6,6;SP;SP;SP;SP;H;H;H;H;H;H
5,5;D;D;D;D;D;D;D;D;H;H
4,4;H;H;H;SP;SP;H;H;H;H;H
3,3;SP;SP;SP;SP;SP;SP;H;H;H;H
2,2;SP;SP;SP;SP;SP;SP;H;H;H;H
